1698.2,591.83,224.06
1698.2,589.6,224.29
1688.3,696.73,253.93
1688.7,661.68,253.28
1689.7,661.24,249.22
1690.2,651.62,247.09
1691.2,651.12,243.03
1691.1,648.93,243.25
1691.1,646.74,243.46
1689.9,623.21,249.89
1689.8,621.02,250.1
1689.8,618.84,250.32
1689.8,616.65,250.54
1689.7,614.47,250.75
1694.1,593.42,232.3
1695,592.66,228.27
1695,590.42,228.49
1695.9,589.64,224.46
1695.9,587.4,224.68
1695.9,585.17,224.9
1695.8,582.93,225.12
1695.8,580.69,225.34
1692.5,545.42,241.14
1692.5,543.2,241.36
1694.3,464.3,236.82
1684.4,705.92,261.41
1686.3,707.59,253.03
1686.2,705.43,253.24
1687.1,705.16,249.17
1687.1,702.99,249.38
1688,702.7,245.3
1687.1,698.64,249.81
1685.6,662.14,257.51
1685.6,659.98,257.73
1687.5,661.29,249.39
1686.5,657.38,253.88
1688.1,653.85,247.04
1688,651.66,247.26
1689,651.17,243.2
1688.9,648.98,243.42
1688.9,646.78,243.63
1687.7,623.26,250.06
1687.6,621.07,250.28
1686.9,617.7,253.69
1686.9,615.52,253.9
1686.8,613.34,254.12
1687.5,612.33,251.14
1687.5,610.14,251.35
1687.5,607.96,251.57
1687.4,605.77,251.78
1691,598.64,236.07
1691,596.42,236.29
1691.9,595.69,232.25
1691.9,593.46,232.47
1690.9,589.78,236.94
1692.8,590.47,228.66
1693.7,589.69,224.63
1693.6,587.45,224.86
1693.6,585.21,225.08
1693.6,582.97,225.3
1693.6,580.74,225.52
1693.5,578.5,225.74
1692.6,574.86,230.2
1691.3,551.22,236.64
1691.3,549,236.86
1691.3,546.78,237.08
1691.2,544.55,237.3
1691.2,542.33,237.52
1692.1,541.4,233.5
1692.1,539.17,233.72
1692.1,536.94,233.94
1692.5,500.16,233.46
1692.5,497.92,233.69
1695.9,479.79,219.05
1695.9,477.52,219.28
1694.9,474.2,223.71
1693,469.86,232.35
1693,467.62,232.57
1692.9,465.37,232.79
1691,461.09,241.42
1691.9,459.87,237.44
1695.5,221.81,231.16
1696.4,219.71,227.26
1683.2,707.89,257.28
1684.1,707.64,253.2
1685,707.38,249.12
1685.9,707.1,245.04
1685.9,704.92,245.26
1686.6,704.15,242.26
1686.5,701.97,242.47
1686.5,699.78,242.69
1686.5,697.6,242.9
1687.3,690.68,239.48
1687.3,688.49,239.7
1687.2,686.3,239.91
1690.9,689.1,223.22
1689.9,682.87,227.94
1683.5,662.19,257.68
1683.5,660.02,257.9
1685.3,661.33,249.56
1685.3,659.15,249.77
1685.2,656.97,249.99
1685.9,656.08,247
1685.9,653.89,247.21
1686.8,653.41,243.16
1686.8,651.22,243.37
1686.7,649.02,243.59
